Timestamp,Combined Value1,Combined Value2,Combined Value3,Combined Value4
1742724570846994,399308,0,435265,505
1742724570855422,399345,0,435219,531
1742724570863850,399046,0,435078,537
1742724570872278,399308,2,435336,522
1742724570880706,399385,0,435391,513
1742724570889134,399065,0,435005,505
1742724570897562,399119,0,435016,537
1742724570905767,398940,0,434987,513
1742724570913203,399222,15,435756,570
1742724570920639,399482,0,435791,514
1742724570928075,400051,0,436615,521
1742724570935511,400407,0,436980,533
1742724570942947,400964,0,437677,527
1742724570950383,401269,8,438031,547
1742724570958034,401701,0,438651,531
1742724570966282,401694,0,438692,522
1742724570974530,401607,0,438822,522
1742724570982778,401574,0,438869,548
1742724570991026,401439,0,438813,535
1742724570999274,401131,0,438619,502
1742724571007522,401228,0,438633,538
1742724571015578,401214,0,438470,482
1742724571023006,401252,9,438876,562
1742724571030434,402419,0,439492,515
1742724571037862,403423,0,440555,505
1742724571045290,403095,0,440296,516
1742724571052718,402046,0,438996,499
